0.01	0.03	4.03
0.02	0.06	4.06
0.03	0.09	4.09
0.04	0.12	4.12
0.05	0.15	4.15
0.06	0.18	4.18
0.07	0.21	4.21
0.08	0.24	4.24
0.09	0.27	4.27
0.1	0.3	4.3
0.11	0.33	4.33
0.12	0.36	4.36
0.13	0.39	4.39
0.14	0.42	4.42
0.15	0.45	4.45
0.16	0.48	4.48
0.17	0.51	4.51
0.18	0.54	4.54
0.19	0.57	4.57
0.2	0.6	4.6
0.21	0.63	4.63
0.22	0.66	4.66
0.23	0.69	4.69
0.24	0.72	4.72
0.25	0.75	4.75
0.26	0.78	4.78
0.27	0.81	4.81
0.28	0.84	4.84
0.29	0.87	4.87
0.3	0.9	4.9
0.31	0.93	4.93
0.32	0.96	4.96
0.33	0.99	4.99
0.34	1.02	5.02
0.35	1.05	5.05
0.36	1.08	5.08
0.37	1.11	5.11
0.38	1.14	5.14
0.39	1.17	5.17
0.4	1.2	5.2
0.41	1.23	5.23
0.42	1.26	5.26
0.43	1.29	5.29
0.44	1.32	5.32
0.45	1.35	5.35
0.46	1.38	5.38
0.47	1.41	5.41
0.48	1.44	5.44
0.49	1.47	5.47
0.5	1.5	5.5
0.51	1.53	5.53
0.52	1.56	5.56
0.53	1.59	5.59
0.54	1.62	5.62
0.55	1.65	5.65
0.56	1.68	5.68
0.57	1.71	5.71
0.58	1.74	5.74
0.59	1.77	5.77
0.6	1.8	5.8
0.61	1.83	5.83
0.62	1.86	5.86
0.63	1.89	5.89
0.64	1.92	5.92
0.65	1.95	5.95
0.66	1.98	5.98
0.67	2.01	6.01
0.68	2.04	6.04
0.69	2.07	6.07
0.7	2.1	6.1
0.71	2.13	6.13
0.72	2.16	6.16
0.73	2.19	6.19
0.74	2.22	6.22
0.75	2.25	6.25
0.76	2.28	6.28
0.77	2.31	6.31
0.78	2.34	6.34
0.79	2.37	6.37
0.8	2.4	6.4
0.81	2.43	6.43
0.82	2.46	6.46
0.83	2.49	6.49
0.84	2.52	6.52
0.85	2.55	6.55
0.86	2.58	6.58
0.87	2.61	6.61
0.88	2.64	6.64
0.89	2.67	6.67
0.9	2.7	6.7
0.91	2.73	6.73
0.92	2.76	6.76
0.93	2.79	6.79
0.94	2.82	6.82
0.95	2.85	6.85
0.96	2.88	6.88
0.97	2.91	6.91
0.98	2.94	6.94
0.99	2.97	6.97
1	3	7
1.01	3.03	7.03
1.02	3.06	7.06
1.03	3.09	7.09
1.04	3.12	7.12
1.05	3.15	7.15
1.06	3.18	7.18
1.07	3.21	7.21
1.08	3.24	7.24
1.09	3.27	7.27
1.1	3.3	7.3
1.11	3.33	7.33
1.12	3.36	7.36
1.13	3.39	7.39
1.14	3.42	7.42
1.15	3.45	7.45
1.16	3.48	7.48
1.17	3.51	7.51
1.18	3.54	7.54
1.19	3.57	7.57
1.2	3.6	7.6
1.21	3.63	7.63
1.22	3.66	7.66
1.23	3.69	7.69
1.24	3.72	7.72
1.25	3.75	7.75
1.26	3.78	7.78
1.27	3.81	7.81
1.28	3.84	7.84
1.29	3.87	7.87
1.3	3.9	7.9
1.31	3.93	7.93
1.32	3.96	7.96
1.33	3.99	7.99
1.34	4.02	8.02
1.35	4.05	8.05
1.36	4.08	8.08
1.37	4.11	8.11
1.38	4.14	8.14
1.39	4.17	8.17
1.4	4.2	8.2
1.41	4.23	8.23
1.42	4.26	8.26
1.43	4.29	8.29
1.44	4.32	8.32
1.45	4.35	8.35
1.46	4.38	8.38
1.47	4.41	8.41
1.48	4.44	8.44
1.49	4.47	8.47
1.5	4.5	8.5
1.51	4.53	8.53
1.52	4.56	8.56
1.53	4.59	8.59
1.54	4.62	8.62
1.55	4.65	8.65
1.56	4.68	8.68
1.57	4.71	8.71
1.58	4.74	8.74
1.59	4.77	8.77
1.6	4.8	8.8
1.61	4.83	8.83
1.62	4.86	8.86
1.63	4.89	8.89
1.64	4.92	8.92
1.65	4.95	8.95
1.66	4.98	8.98
1.67	5.01	9.01
1.68	5.04	9.04
1.69	5.07	9.07
1.7	5.1	9.1
1.71	5.13	9.13
1.72	5.16	9.16
1.73	5.19	9.19
1.74	5.22	9.22
1.75	5.25	9.25
1.76	5.28	9.28
1.77	5.31	9.31
1.78	5.34	9.34
1.79	5.37	9.37
1.8	5.4	9.4
1.81	5.43	9.43
1.82	5.46	9.46
1.83	5.49	9.49
1.84	5.52	9.52
1.85	5.55	9.55
1.86	5.58	9.58
1.87	5.61	9.61
1.88	5.64	9.64
1.89	5.67	9.67
1.9	5.7	9.7
1.91	5.73	9.73
1.92	5.76	9.76
1.93	5.79	9.79
1.94	5.82	9.82
1.95	5.85	9.85
1.96	5.88	9.88
1.97	5.91	9.91
1.98	5.94	9.94
1.99	5.97	9.97
2	6	10
2.01	6.03	10.03
2.02	6.06	10.06
2.03	6.09	10.09
2.04	6.12	10.12
2.05	6.15	10.15
2.06	6.18	10.18
2.07	6.21	10.21
2.08	6.24	10.24
2.09	6.27	10.27
2.1	6.3	10.3
2.11	6.33	10.33
2.12	6.36	10.36
2.13	6.39	10.39
2.14	6.42	10.42
2.15	6.45	10.45
2.16	6.48	10.48
2.17	6.51	10.51
2.18	6.54	10.54
2.19	6.57	10.57
2.2	6.6	10.6
2.21	6.63	10.63
2.22	6.66	10.66
2.23	6.69	10.69
2.24	6.72	10.72
2.25	6.75	10.75
2.26	6.78	10.78
2.27	6.81	10.81
2.28	6.84	10.84
2.29	6.87	10.87
2.3	6.9	10.9
2.31	6.93	10.93
2.32	6.96	10.96
2.33	6.99	10.99
2.34	7.02	11.02
2.35	7.05	11.05
2.36	7.08	11.08
2.37	7.11	11.11
2.38	7.14	11.14
2.39	7.17	11.17
2.4	7.2	11.2
2.41	7.23	11.23
2.42	7.26	11.26
2.43	7.29	11.29
2.44	7.32	11.32
2.45	7.35	11.35
2.46	7.38	11.38
2.47	7.41	11.41
2.48	7.44	11.44
2.49	7.47	11.47
2.5	7.5	11.5
2.51	7.53	11.53
2.52	7.56	11.56
2.53	7.59	11.59
2.54	7.62	11.62
2.55	7.65	11.65
2.56	7.68	11.68
2.57	7.71	11.71
2.58	7.74	11.74
2.59	7.77	11.77
2.6	7.8	11.8
2.61	7.83	11.83
2.62	7.86	11.86
2.63	7.89	11.89
2.64	7.92	11.92
2.65	7.95	11.95
2.66	7.98	11.98
2.67	8.01	12.01
2.68	8.04	12.04
2.69	8.07	12.07
2.7	8.1	12.1
2.71	8.13	12.13
2.72	8.16	12.16
2.73	8.19	12.19
2.74	8.22	12.22
2.75	8.25	12.25
2.76	8.28	12.28
2.77	8.31	12.31
2.78	8.34	12.34
2.79	8.37	12.37
2.8	8.4	12.4
2.81	8.43	12.43
2.82	8.46	12.46
2.83	8.49	12.49
2.84	8.52	12.52
2.85	8.55	12.55
2.86	8.58	12.58
2.87	8.61	12.61
2.88	8.64	12.64
2.89	8.67	12.67
2.9	8.7	12.7
2.91	8.73	12.73
2.92	8.76	12.76
2.93	8.79	12.79
2.94	8.82	12.82
2.95	8.85	12.85
2.96	8.88	12.88
2.97	8.91	12.91
2.98	8.94	12.94
2.99	8.97	12.97
3	9	13
3.01	9.03	13.03
3.02	9.06	13.06
3.03	9.09	13.09
3.04	9.12	13.12
3.05	9.15	13.15
3.06	9.18	13.18
3.07	9.21	13.21
3.08	9.24	13.24
3.09	9.27	13.27
3.1	9.3	13.3
3.11	9.33	13.33
3.12	9.36	13.36
3.13	9.39	13.39
3.14	9.42	13.42
3.15	9.45	13.45
3.16	9.48	13.48
3.17	9.51	13.51
3.18	9.54	13.54
3.19	9.57	13.57
3.2	9.6	13.6
3.21	9.63	13.63
3.22	9.66	13.66
3.23	9.69	13.69
3.24	9.72	13.72
3.25	9.75	13.75
3.26	9.78	13.78
3.27	9.81	13.81
3.28	9.84	13.84
3.29	9.87	13.87
3.3	9.9	13.9
3.31	9.93	13.93
3.32	9.96	13.96
3.33	9.99	13.99
3.34	10.02	14.02
3.35	10.05	14.05
3.36	10.08	14.08
3.37	10.11	14.11
3.38	10.14	14.14
3.39	10.17	14.17
3.4	10.2	14.2
3.41	10.23	14.23
3.42	10.26	14.26
3.43	10.29	14.29
3.44	10.32	14.32
3.45	10.35	14.35
3.46	10.38	14.38
3.47	10.41	14.41
3.48	10.44	14.44
3.49	10.47	14.47
3.5	10.5	14.5
3.51	10.53	14.53
3.52	10.56	14.56
3.53	10.59	14.59
3.54	10.62	14.62
3.55	10.65	14.65
3.56	10.68	14.68
3.57	10.71	14.71
3.58	10.74	14.74
3.59	10.77	14.77
3.6	10.8	14.8
3.61	10.83	14.83
3.62	10.86	14.86
3.63	10.89	14.89
3.64	10.92	14.92
3.65	10.95	14.95
3.66	10.98	14.98
3.67	11.01	15.01
3.68	11.04	15.04
3.69	11.07	15.07
3.7	11.1	15.1
3.71	11.13	15.13
3.72	11.16	15.16
3.73	11.19	15.19
3.74	11.22	15.22
3.75	11.25	15.25
3.76	11.28	15.28
3.77	11.31	15.31
